Code,Name,SurfaceArea,Population,PopulationDensity
AFG,Afghanistan,652090,22720000,34.8
AGO,Angola,1246700,12878000,10.3
AIA,Anguilla,96,8000,83.3
ALB,Albania,28748,3401200,118.3
AND,Andorra,468,78000,166.7
ANT,Netherlands Antilles,800,217000,271.2
ARE,United Arab Emirates,83600,2441000,29.2
ARG,Argentina,2780400,37032000,13.3
ARM,Armenia,29800,3520000,118.1
ASM,American Samoa,199,68000,341.7
ATA,Antarctica,13120000,0,0.0
ATF,French Southern territories,7780,0,0.0
ATG,Antigua and Barbuda,442,68000,153.8
AUS,Australia,7741220,18886000,2.4
AUT,Austria,83859,8091800,96.5
AZE,Azerbaijan,86600,7734000,89.3
BDI,Burundi,27834,6695000,240.5
BEL,Belgium,30518,10239000,335.5
BEN,Benin,112622,6097000,54.1
BFA,Burkina Faso,274000,11937000,43.6
BGR,Bulgaria,110994,8190900,73.8
BHS,Bahamas,13878,307000,22.1
BIH,Bosnia and Herzegovina,51197,3972000,77.6
BLR,Belarus,207600,10236000,49.3
BLZ,Belize,22696,241000,10.6
BOL,Bolivia,1098581,8329000,7.6
BRA,Brazil,8547403,170115000,19.9
BRN,Brunei,5765,328000,56.9
BTN,Bhutan,47000,2124000,45.2
BVT,Bouvet Island,59,0,0.0
BWA,Botswana,581730,1622000,2.8
CAF,Central African Republic,622984,3615000,5.8
CAN,Canada,9970610,31147000,3.1
CCK,Cocos (Keeling) Islands,14,600,42.9
CHE,Switzerland,41284,7160400,173.4
CHL,Chile,756626,15211000,20.1
CHN,China,9572900,1277558000,133.5
CIV,Côte dIvoire,322463,14786000,45.9
CMR,Cameroon,475442,15085000,31.7
COD,"Congo The Democratic Republic of the",2344858,51654000,22.0
COG,Congo,342000,2943000,8.6
COK,Cook Islands,236,20000,84.7
COL,Colombia,1138914,42321000,37.2
COM,Comoros,1862,578000,310.4
CPV,Cape Verde,4033,428000,106.1
CRI,Costa Rica,51100,4023000,78.7
CUB,Cuba,110861,11201000,101.0
CXR,Christmas Island,135,2500,18.5
CYM,Cayman Islands,264,38000,143.9
CYP,Cyprus,9251,754700,81.6
CZE,Czech Republic,78866,10278100,130.3
DEU,Germany,357022,82164700,230.1
DJI,Djibouti,23200,638000,27.5
DMA,Dominica,751,71000,94.5
DNK,Denmark,43094,5330000,123.7
DOM,Dominican Republic,48511,8495000,175.1
DZA,Algeria,2381741,31471000,13.2
ECU,Ecuador,283561,12646000,44.6
EGY,Egypt,1001449,68470000,68.4
ERI,Eritrea,117600,3850000,32.7
ESH,Western Sahara,266000,293000,1.1
ESP,Spain,505992,39441700,77.9
EST,Estonia,45227,1439200,31.8
ETH,Ethiopia,1104300,62565000,56.7
FIN,Finland,338145,5171300,15.3
FJI,Fiji Islands,18274,817000,44.7
FLK,Falkland Islands,12173,2000,0.2
FRA,France,551500,59225700,107.4
FRO,Faroe Islands,1399,43000,30.7
FSM,"Micronesia Federated States of",702,119000,169.5
GAB,Gabon,267668,1226000,4.6
GBR,United Kingdom,242900,59623400,245.5
GEO,Georgia,69700,4968000,71.3
GHA,Ghana,238533,20212000,84.7
GIN,Guinea,245857,7430000,30.2
GLP,Guadeloupe,1705,456000,267.4
GMB,Gambia,11295,1305000,115.5
GNB,Guinea-Bissau,36125,1213000,33.6
GNQ,Equatorial Guinea,28051,453000,16.1
GRC,Greece,131626,10545700,80.1
GRD,Grenada,344,94000,273.3
GRL,Greenland,2166090,56000,0.0
GTM,Guatemala,108889,11385000,104.6
GUF,French Guiana,90000,181000,2.0
GUM,Guam,549,168000,306.0
GUY,Guyana,214969,861000,4.0
HMD,Heard Island and McDonald Islands,359,0,0.0
HND,Honduras,112088,6485000,57.9
HRV,Croatia,56538,4473000,79.1
HTI,Haiti,27750,8222000,296.3
HUN,Hungary,93030,10043200,108.0
IDN,Indonesia,1904569,212107000,111.4
IND,India,3287263,1013662000,308.4
IOT,British Indian Ocean Territory,78,0,0.0
IRL,Ireland,70273,3775100,53.7
IRN,Iran,1648195,67702000,41.1
IRQ,Iraq,438317,23115000,52.7
ISL,Iceland,103000,279000,2.7
ISR,Israel,21056,6217000,295.3
ITA,Italy,301316,57680000,191.4
